TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01GEP 499980 5400040 1S  32701 -177.0002 -175.6632 -42.5402  -41.5438 
01GEQ 499980 5500000 1S  32701 -177.0002 -175.682  -41.6399  -40.6436 
01GER 499980 5600020 1S  32701 -177.0002 -175.6999 -40.739   -39.7427 
01GFH 600000 4800040 1S  32701 -175.686  -174.1924 -47.9334  -46.92   
01GFJ 600000 4900000 1S  32701 -175.7075 -174.2399 -47.0342  -46.0214 
01GFK 600000 5000020 1S  32701 -175.728  -174.2851 -46.1343  -45.1221 
01GFL 600000 5100040 1S  32701 -175.7475 -174.3283 -45.2342  -44.2227 
01GFM 600000 5200000 1S  32701 -175.7662 -174.3694 -44.3346  -43.3236 
01GFN 600000 5300020 1S  32701 -175.784  -174.4087 -43.4342  -42.4238 
01GFP 600000 5400040 1S  32701 -175.801  -174.4462 -42.5338  -41.5238 
01GFQ 600000 5500000 1S  32701 -175.8173 -174.482  -41.6337  -40.6242 
01GFR 600000 5600020 1S  32701 -175.8329 -174.5163 -40.7329  -39.7239 
01GGH 699960 4800040 1S  32701 -174.3735 -172.8578 -47.91    -46.8809 
01GGJ 699960 4900000 1S  32701 -174.4165 -172.9277 -47.0115  -45.9835 
01GGK 699960 5000020 1S  32701 -174.4574 -172.9943 -46.1123  -45.0854 
01GGL 699960 5100040 1S  32701 -174.4965 -173.0579 -45.2129  -44.1871 
01GGM 699960 5200000 1S  32701 -174.5337 -173.1185 -44.3139  -43.2891 
01GGN 699960 5300020 1S  32701 -174.5693 -173.1764 -43.4142  -42.3903 
01GGP 699960 5400040 1S  32701 -174.6033 -173.2316 -42.5144  -41.4914 
01GGQ 699960 5500000 1S  32701 -174.6358 -173.2844 -41.6149  -40.5928 
01GGR 699960 5600020 1S  32701 -174.6669 -173.3348 -40.7147  -39.6935 
01HBA 199980 6100000 1S  32701 179.6639  180       -36.1942  -35.1982 
01HBB 199980 6200020 1S  32701 179.7012  180       -35.2929  -34.2977 
01HBC 199980 6300040 1S  32701 179.737   180       -34.3915  -33.3971 
01HBD 199980 6400000 1S  32701 179.7712  180       -33.4906  -32.4968 
01HBE 199980 6500020 1S  32701 179.8039  180       -32.589   -31.5959 
01HBS 199980 5700040 1S  32701 179.4966  180       -39.7974  -38.7974 
01HBT 199980 5800000 1S  32701 179.5412  180       -38.897   -37.8981 
01HBU 199980 5900020 1S  32701 179.584   180       -37.996   -36.9981 
01HBV 199980 6000040 1S  32701 179.6248  180       -37.0949  -36.098  
01HCA 300000 6100000 1S  32701 -179.2249 -177.9913 -36.2289  -35.2231 
01HCB 300000 6200020 1S  32701 -179.1999 -177.9806 -35.3272  -34.3218 
01HCC 300000 6300040 1S  32701 -179.176  -177.9703 -34.4254  -33.4204 
01HCD 300000 6400000 1S  32701 -179.1532 -177.9605 -33.524   -32.5193 
01HCE 300000 6500020 1S  32701 -179.1314 -177.9511 -32.6219  -31.6176 
01HCS 300000 5700040 1S  32701 -179.3366 -178.0394 -39.8331  -38.8257 
01HCT 300000 5800000 1S  32701 -179.3068 -178.0266 -38.9325  -37.9256 
01HCU 300000 5900020 1S  32701 -179.2782 -178.0143 -38.0312  -37.0247 
01HCV 300000 6000040 1S  32701 -179.251  -178.0026 -37.1299  -36.1237 
01HDA 399960 6100000 1S  32701 -178.1132 -176.8914 -36.233   -35.2381 
01HDB 399960 6200020 1S  32701 -178.1007 -176.8926 -35.3312  -34.3363 
01HDC 399960 6300040 1S  32701 -178.0887 -176.8938 -34.4293  -33.4344 
01HDD 399960 6400000 1S  32701 -178.0773 -176.8949 -33.5277  -32.5328 
01HDE 399960 6500020 1S  32701 -178.0663 -176.896  -32.6255  -31.6306 
01HDS 399960 5700040 1S  32701 -178.1691 -176.8859 -39.8378  -38.8428 
01HDT 399960 5800000 1S  32701 -178.1542 -176.8874 -38.9371  -37.9421 
01HDU 399960 5900020 1S  32701 -178.1399 -176.8888 -38.0357  -37.0407 
01HDV 399960 6000040 1S  32701 -178.1262 -176.8901 -37.1342  -36.1392 
01HEA 499980 6100000 1S  32701 -177.0002 -175.7785 -36.2331  -35.2371 
01HEB 499980 6200020 1S  32701 -177.0002 -175.7922 -35.3313  -34.3353 
01HEC 499980 6300040 1S  32701 -177.0002 -175.8053 -34.4293  -33.4334 
01HED 499980 6400000 1S  32701 -177.0002 -175.8178 -33.5278  -32.5319 
01HEE 499980 6500020 1S  32701 -177.0002 -175.8298 -32.6256  -31.6298 
01HES 499980 5700040 1S  32701 -177.0002 -175.7171 -39.8378  -38.8416 
01HET 499980 5800000 1S  32701 -177.0002 -175.7335 -38.9371  -37.941  
01HEU 499980 5900020 1S  32701 -177.0002 -175.7492 -38.0357  -37.0396 
01HEV 499980 6000040 1S  32701 -177.0002 -175.7641 -37.1342  -36.1381 
01HFA 600000 6100000 1S  32701 -175.901  -174.6662 -36.2279  -35.2211 
01HFB 600000 6200020 1S  32701 -175.9129 -174.6924 -35.3263  -34.3199 
01HFC 600000 6300040 1S  32701 -175.9242 -174.7174 -34.4245  -33.4185 
01HFD 600000 6400000 1S  32701 -175.9351 -174.7413 -33.5231  -32.5175 
01HFE 600000 6500020 1S  32701 -175.9455 -174.7643 -32.6211  -31.6158 
01HFS 600000 5700040 1S  32701 -175.8477 -174.549  -39.832   -38.8235 
01HFT 600000 5800000 1S  32701 -175.8619 -174.5803 -38.9314  -37.9234 
01HFU 600000 5900020 1S  32701 -175.8755 -174.6102 -38.0302  -37.0226 
01HFV 600000 6000040 1S  32701 -175.8885 -174.6388 -37.1289  -36.1217 
01HGA 699960 6100000 1S  32701 -174.8029 -173.5557 -36.2124  -35.1953 
01HGB 699960 6200020 1S  32701 -174.8267 -173.5943 -35.3113  -34.2949 
01HGC 699960 6300040 1S  32701 -174.8494 -173.6312 -34.41    -33.3943 
01HGD 699960 6400000 1S  32701 -174.8711 -173.6665 -33.5091  -32.4941 
01HGE 699960 6500020 1S  32701 -174.8919 -173.7003 -32.6075  -31.5933 
01HGS 699960 5700040 1S  32701 -174.6965 -173.3831 -39.8143  -38.794  
01HGT 699960 5800000 1S  32701 -174.7249 -173.4291 -38.9143  -37.8948 
01HGU 699960 5900020 1S  32701 -174.7521 -173.4732 -38.0137  -36.995  
01HGV 699960 6000040 1S  32701 -174.7781 -173.5154 -37.1128  -36.0949 
01JAM 99960 7200040 1S  32701 178.9961  180       -26.276   -25.2627 
01JAN 99960 7300000 1S  32701 179.0263  180       -25.3741  -24.3621 
01JBF 199980 6600040 1S  32701 179.8352  180       -31.6873  -30.6947 
01JBG 199980 6700000 1S  32701 179.8651  180       -30.7861  -29.794  
01JBH 199980 6800020 1S  32701 179.8937  180       -29.8842  -28.8926 
01JBJ 199980 6900040 1S  32701 179.9211  180       -28.9822  -27.991  
01JBK 199980 7000000 1S  32701 179.9472  180       -28.0807  -27.0899 
01JBL 199980 7100020 1S  32701 179.9721  180       -27.1785  -26.188  
01JBM 199980 7200040 1S  32701 -180      -178.8895 -26.295   -25.2861 
01JBN 199980 7300000 1S  32701 -179.9814 -178.8758 -25.3929  -24.3845 
01JCF 300000 6600040 1S  32701 -179.1105 -177.9422 -31.7197  -30.7157 
01JCG 300000 6700000 1S  32701 -179.0905 -177.9336 -30.8179  -29.8143 
01JCH 300000 6800020 1S  32701 -179.0714 -177.9254 -29.9154  -28.9121 
01JCJ 300000 6900040 1S  32701 -179.0532 -177.9176 -29.0128  -28.0098 
01JCK 300000 7000000 1S  32701 -179.0357 -177.9101 -28.1106  -27.108  
01JCL 300000 7100020 1S  32701 -179.0191 -177.9029 -27.2078  -26.2055 
01JCM 300000 7200040 1S  32701 -179.0032 -177.8961 -26.3049  -25.3028 
01JCN 300000 7300000 1S  32701 -178.9881 -177.8896 -25.4023  -24.4006 
01JDF 399960 6600040 1S  32701 -178.0559 -176.897  -31.7232  -30.7283 
01JDG 399960 6700000 1S  32701 -178.0459 -176.898  -30.8213  -29.8264 
01JDH 399960 6800020 1S  32701 -178.0363 -176.8989 -29.9187  -28.9238 
01JDJ 399960 6900040 1S  32701 -178.0272 -176.8998 -29.016   -28.0211 
01JDK 399960 7000000 1S  32701 -178.0185 -176.9006 -28.1137  -27.1188 
01JDL 399960 7100020 1S  32701 -178.0101 -176.9014 -27.2107  -26.2159 
01JDM 399960 7200040 1S  32701 -178.0022 -176.9022 -26.3077  -25.3128 
01JDN 399960 7300000 1S  32701 -177.9946 -176.903  -25.405   -24.4102 
